spin,label,empirical_probability,theoretical_probability,absolute_error,seed
10129,17,0.025471418698785664,0.02702702702702703,0.0015556083282413646,20260913
10130,17,0.025468904244817375,0.02702702702702703,0.0015581227822096533,20260913
10131,17,0.025466390287237194,0.02702702702702703,0.0015606367397898342,20260913
10132,17,0.025463876825898145,0.02702702702702703,0.0015631502011288836,20260913
10133,17,0.02546136386065331,0.02702702702702703,0.0015656631663737187,20260913
10134,17,0.02545885139135583,0.02702702702702703,0.0015681756356711977,20260913
10135,17,0.025456339417858905,0.02702702702702703,0.0015706876091681234,20260913
10136,17,0.025453827940015786,0.02702702702702703,0.0015731990870112428,20260913
10137,17,0.025451316957679788,0.02702702702702703,0.0015757100693472408,20260913
10138,17,0.025448806470704282,0.02702702702702703,0.0015782205563227465,20260913
10139,17,0.025446296478942698,0.02702702702702703,0.0015807305480843303,20260913
10140,17,0.02544378698224852,0.02702702702702703,0.001583240044778507,20260913
10141,17,0.0254412779804753,0.02702702702702703,0.0015857490465517286,20260913
10142,17,0.025438769473476633,0.02702702702702703,0.0015882575535503957,20260913
10143,17,0.025436261461106183,0.02702702702702703,0.0015907655659208458,20260913
10144,17,0.025433753943217667,0.02702702702702703,0.0015932730838093614,20260913
10145,17,0.02543124691966486,0.02702702702702703,0.0015957801073621693,20260913
10146,17,0.0254287403903016,0.02702702702702703,0.0015982866367254302,20260913
10147,17,0.02542623435498177,0.02702702702702703,0.00160079267204526,20260913
10148,17,0.025423728813559324,0.02702702702702703,0.0016032982134677048,20260913
10149,17,0.025421223765888266,0.02702702702702703,0.0016058032611387628,20260913
10150,17,0.02541871921182266,0.02702702702702703,0.001608307815204369,20260913
10151,17,0.02541621515121663,0.02702702702702703,0.0016108118758104,20260913
10152,17,0.02541371158392435,0.02702702702702703,0.0016133154431026801,20260913
10153,17,0.025411208509800057,0.02702702702702703,0.001615818517226971,20260913
10154,17,0.02540870592869805,0.02702702702702703,0.0016183210983289793,20260913
10155,17,0.025406203840472673,0.02702702702702703,0.0016208231865543557,20260913
